id_plot,latitude,longitude,altitude,aspect,MAT,MAP,slope,Forest_types,age,origin,sucstage,area,Root_C_stock,Tree_C_stock,Herb_layer_C_stock,Litter_layer_C_stock,Shrub_layer_C_stock,Total_aboveground_C_stock,Total_soil_C_stock,Total_belowground_C_stock,Total_forest_C_stock,AM_tree_C_stock,EcM_tree_C_stock,species_richness3cm,species_richness10cm,Hii_shannon_diversity3cm,all_tree_number_per_600_3cm,tree_number_area_per_600m2_10cm
CQ85,31.12583333,109.4197222,264,SW,18,1047,25,Broadleaved_forest,12,natural,middle,600,0.574040653,3.922586511,0.0982,0.748,0.262,3.970745858,6.350382062,6.924422715,10.89516857,NA,3.922586511,1,1,1,90,37
ZJ125,28.54676111,118.5441194,168,NE,17.7,1751,5,Coniferous_forest,25,natural,middle,600,2.006267784,22.49337721,0.597625538,0.249645141,0.05907725,21.20288946,11.99759969,14.00386748,35.20675693,3.318822765,19.17455444,9,3,2.564,75,28
CQ86,31.12888889,109.4208333,265,SW,18,1047,25,Broadleaved_forest,12,natural,middle,600,0.590287252,4.033577585,0.1158,1.0282,0.26,4.079090333,12.45526208,13.04554933,17.12463966,NA,4.033577585,1,1,1,93,41
SC221,29.04858056,99.38628889,3292,NW,6.8,572,25,Coniferous_forest,35,natural,early,600,9.357867078,53.2904531,0.010754911,0.1493413,1.493621355,46.93058364,12.85017383,22.20804091,69.13862455,NA,53.29045308,1,1,1,97,35
ZJ128,28.54276111,118.4995083,163,NW,17.8,1753,10,Mixed_forest,25,natural,middle,600,5.070793231,46.68314565,NA,0.184894514,0.067427542,41.7472075,14.17896247,19.2497557,60.99696321,7.483975736,39.19916992,5,4,3.657,132,50
SC296,29.32384167,102.8760167,1782,NW,13.1,1065,8,Coniferous_forest,33,natural,late,600,5.522442219,51.181753,0.184285176,0.638153334,0.03825625,45.92010846,15.3029848,20.82542702,66.74553547,NA,51.18175303,1,1,1,76,71
ZJ36,28.60833611,119.2826833,241,SW,17.6,1564,28,Broadleaved_forest,78,natural,late,600,17.64148228,107.0913858,0.07575,0.142168919,0.060046813,89.64574715,17.17398727,34.81546955,124.4612167,60.952002,46.13938381,5,4,3.098,143,102
AH19,31,115.7569167,480,SE,15.8,1417,28,Mixed_forest,30,natural,middle,600,12.82218243,80.87079035,0.009323368,0.724487273,0.149961669,68.35785463,17.51561533,30.33779776,98.69565239,30.66889632,50.20189405,4,3,2.359,49,45
ZJ129,28.54368611,118.4998083,163,SW,17.8,1753,10,Mixed_forest,25,natural,middle,600,5.932632742,43.26275264,NA,0.151158778,0.106094094,37.54230808,17.64496817,23.57760091,61.11990899,8.875820642,34.386932,10,6,4.547,156,42
ZJ168,29.16342222,119.6360944,119,SW,17.5,1435,5,Mixed_forest,44,natural,middle,600,7.294368284,66.2840794,NA,0.241281445,0.111501441,59.212714,18.01674194,25.31111023,84.52382423,15.72196841,50.56211098,7,5,5.371,122,62
GZ103,28.28902778,107.9440556,1169,NE,14.2,1231,13,Mixed_forest,40,natural,middle,600,10.80451814,86.57283675,0.274733334,0.014225,0.078691667,76.20043528,18.0658892,28.87040734,105.0708426,34.08133932,52.49149745,6,6,4.375,99,55
SC51,28.84335,106.134375,426,NW,17.7,1086,26,Coniferous_forest,13,natural,middle,600,7.416630891,42.02575976,0.007234591,0.132817975,0.000136374,34.61663621,18.24511557,25.66174646,60.27838267,39.32789728,2.697862486,10,5,2.053,126,70
SC50,28.85011389,106.137475,382,NW,18,1084,15,Coniferous_forest,10,natural,early,600,6.56680664,28.51646686,0.081198585,0.16197551,0.016124112,22.06310702,18.86040818,25.42721481,47.49032184,24.52585827,3.990608591,4,3,2.634,164,50
ZJ122,28.5358,118.5592806,231,SW,17.1,1804,30,Mixed_forest,78,natural,middle,600,7.005769063,72.1804482,0.1843725,0.243785864,0.11815,65.59535164,19.29354947,26.29931853,91.89467017,40.20533398,31.85232168,15,3,4.115,193,79
ZJ14,29.58855,119.0148917,212,NW,16.4,1563,28,Mixed_forest,97,planted,late,600,14.63154015,104.5093493,0.08585,0.233349278,0.106822017,90.17730319,19.63876093,34.27030107,124.4476043,16.01382266,87.60144945,11,4,3.173,140,72
ZJ167,29.16351667,119.6366833,119,SW,17.5,1435,5,Mixed_forest,20,natural,middle,600,6.901982542,59.27875275,NA,0.207417232,0.03092125,52.43861271,19.93318181,26.83516435,79.27377706,14.56184889,44.71690388,9,6,4.979,113,66
SC313,30.79930556,107.3466778,630,SE,16.3,1219,15,Mixed_forest,35,natural,middle,600,18.36725059,156.7393509,0.041992879,0.286581609,0.021337457,138.4567681,20.03349993,38.40075051,176.8575186,7.213190435,149.5261604,4,3,3.237,72,46
ZJ170,29.16458889,119.6366528,145,SW,17.5,1435,20,Mixed_forest,20,natural,middle,600,7.581400169,85.9308951,NA,0.414399546,0.011665893,78.37282672,20.08043995,27.66184012,106.0346668,15.04785904,70.88303607,10,6,3.994,178,68
ZJ123,28.53468889,118.5603389,231,NE,17.1,1804,30,Mixed_forest,69,natural,middle,600,5.344251139,47.20769605,NA,0.50326507,0.061718625,41.98688216,20.6981153,26.04236644,68.0292486,36.76992521,10.43777083,13,6,3.985,167,47
ZJ121,28.53653889,118.5588083,231,NE,17.1,1804,30,Mixed_forest,25,natural,middle,600,5.506695425,51.4643091,NA,0.260468621,0.125233438,46.20808055,20.93976425,26.44645968,72.65454023,34.49119278,16.97311632,7,3,2.974,190,50
SC314,30.79969167,107.3470806,606,SE,16.3,1219,14,Mixed_forest,31,natural,middle,600,16.64404653,141.9804329,0.036639,0.2831536,0.018413142,125.4098517,21.52951936,38.17356589,163.5834175,6.817313688,135.1631193,4,3,3.382,70,39
SC312,30.79943056,107.3472222,606,NE,16.3,1219,15,Mixed_forest,33,natural,middle,600,19.79710432,168.5842809,0.037284117,0.280584221,0.020507147,148.8654749,22.32690121,42.12400553,190.9894805,8.568712283,160.0155686,4,3,3.287,74,45
ZJ169,29.16428333,119.6362917,145,SW,17.5,1435,20,Mixed_forest,20,natural,middle,600,4.191683783,43.34961597,NA,0.252168556,0.14801075,39.45395368,22.72799183,26.91967561,66.37362929,6.53340733,36.81620863,10,6,5.707,95,35
ZJ166,29.16313333,119.6363278,119,SW,17.5,1435,5,Mixed_forest,45,natural,middle,600,6.237884255,64.50437475,NA,0.248168406,NA,58.26649049,22.88294666,29.12083092,87.38732141,22.23984402,42.26453072,11,7,6.199,106,54
ZJ171,29.16431944,119.6371361,145,SW,17.5,1435,20,Mixed_forest,20,natural,middle,600,5.148908856,49.6423247,NA,0.184143604,0.214380625,44.92217709,22.89009913,28.03900799,72.96118508,14.06788547,35.57443923,8,5,3.334,110,40
AH14,31.25676667,115.7239833,1120,NW,11.1,1585,30,Broadleaved_forest,60,natural,late,600,20.53243042,83.5140452,0.003753666,0.2354,0.482091969,63.94955238,23.96133226,44.49376268,108.4433151,21.30660289,49.84768496,16,11,9.324,84,41
ZJ49,28.57988056,119.2275,282,NW,17.4,1595,30,Broadleaved_forest,83,natural,late,600,33.47942171,142.3906391,0.1611,0.150385997,0.040027084,109.1523716,24.08080408,57.56022579,166.7125973,12.65871684,129.5020117,24,8,2.323,163,68
SC23,31.24965278,102.8902472,3618,NW,3.2,981,26,Coniferous_forest,132,natural,late,600,30.08591828,163.0531568,0.00436765,NA,0.046454748,133.0645156,24.19185829,54.27777657,187.3422922,2.463980682,155.1925743,7,5,4.282,97,60
ZJ51,28.580075,119.2274694,282,NW,17.4,1595,35,Broadleaved_forest,89,natural,late,600,20.94664843,132.3394702,NA,0.151814587,0.031154167,111.4551301,24.23948683,45.18613526,156.6412653,1.264360798,131.0751094,8,5,2.409,175,81
ZJ26,29.93050278,119.9568861,73,SW,16.4,1428,31,Mixed_forest,20,natural,middle,600,4.77747145,27.71787647,NA,0.361107506,0.797971084,24.53634719,24.30408722,29.08155867,53.61790585,12.8631929,14.39842574,11,5,5.361,52,21
AH18,31,115.8539833,707,SW,13.1,1570,28,Mixed_forest,65,natural,middle,600,9.120887286,41.19316104,0.020933015,0.115996364,0.268126467,32.6294597,24.34036126,33.46124855,66.09070824,21.62664667,18.64188453,30,13,14.744,129,39
ZJ154,29.19849444,119.6157861,291,SW,16.2,1521,10,Mixed_forest,40,natural,late,600,5.831471528,69.05131605,0.130119524,0.212611065,NA,63.34996405,24.42623849,30.25771001,93.60767406,28.90083003,40.15048603,9,7,4.406,66,45
AH13,31.25733333,115,1091,SW,16.2,1226,32,Mixed_forest,60,natural,late,600,12.37747055,49.9822482,0.007904657,0.416438776,0.113627059,37.83993642,24.77123055,37.1487011,74.98863752,4.399773486,42.83779617,16,8,6.396,44,27
ZJ50,28.57946944,119.2275306,282,SW,17.4,1595,30,Broadleaved_forest,36,natural,late,600,23.63565935,142.17665,NA,0.092571061,0.17536975,118.8917302,24.9513224,48.58698174,167.4787119,17.99051882,124.1861312,14,7,3.049,132,75
ZJ127,28.54293056,118.5004694,163,SW,17.6,1762,10,Mixed_forest,78,natural,middle,600,6.918166927,59.05547275,0.0431,0.216079618,0.02492125,52.23024832,24.99587025,31.91403717,84.1442855,11.60479665,47.4506761,11,9,6.844,126,59
ZJ152,29.19904167,119.6159806,312,SW,16.2,1521,5,Broadleaved_forest,40,natural,late,600,5.508351034,55.88911705,0.097953418,0.122284167,NA,50.47871943,25.01706912,30.52542015,81.00413959,55.44544419,0.443672863,5,5,2.782,61,40
SC41,27.87956111,102.3604806,1788,NW,16,1014,22,Coniferous_forest,35,natural,middle,600,7.087208577,40.46276639,0.106342193,0.233764949,0.072450798,33.6268016,25.34245476,32.42966334,66.05646494,NA,40.46276639,2,1,1,41,31
AH21,31.71178333,115.7258167,560,NE,13.4,1325,10,Mixed_forest,40,natural,middle,600,11.97033753,104.9413643,NA,0.073514754,0.233273371,93.43757351,25.44376824,37.41410577,130.8516793,15.04872109,89.8926432,8,4,3.471,79,52
CQ67,28.57444444,109.0525,378,NE,16.2,1292,20,Coniferous_forest,11,natural,early,600,3.357731133,38.97882794,0.5708,0.3806,0.54835,37.2885968,25.61602702,28.97375815,66.26235495,38.97882793,NA,1,1,1,98,24
